apertura_max.c3d



Time(s):	Emg_1(uV):	Emg_2(uV):	Emg_3(uV):	Emg_4(uV):	Emg_5(uV):
0.192	-2.81982	-5.43823	0.80566	2.71912	4.12903
0.1925	-6.74744	1.81274	2.11487	-0.20142	2.31628
0.193	-3.42407	-4.33044	-1.3092	1.91345	-1.10779
0.1935	-6.2439	-0.50354	-7.35168	-3.8269	-3.02124
0.194	-10.57434	2.92053	-0.90637	3.22266	-2.92053
0.1945	-7.45239	0.60425	0.50354	-0.10071	-4.22974
0.195	-0.90637	1.81274	-3.92761	-3.62549	-7.35168
0.1955	-6.3446	-0.90637	-7.15027	-0.20142	-5.84106
0.196	1.91345	-3.92761	-2.71912	-3.12195	-7.85522
0.1965	-2.01416	1.71204	-3.92761	-4.12903	-6.74744
0.197	-4.53186	1.10779	-2.21558	-2.31628	-3.7262
0.1975	-8.66089	1.81274	0.20142	-5.53894	2.5177
0.198	0.30212	-1.00708	2.11487	-2.92053	-0.10071
0.1985	0.50354	3.32336	3.62549	-4.33044	-2.21558
0.199	3.92761	-3.52478	-0.10071	-1.2085	-0.90637
0.1995	-0.60425	-4.33044	-1.2085	10.17151	2.31628
0.2	-6.3446	-1.71204	4.33044	-0.10071	-0.10071
0.2005	-4.33044	-6.94885	0.70496	9.16443	2.21558
0.201	-4.63257	-9.56726	-7.45239	7.75452	1.81274
0.2015	-9.06372	-3.62549	-2.92053	-1.40991	-0.70496
0.202	-6.54602	-10.97717	0.80566	-3.52478	3.02124
0.2025	-9.66797	-10.57434	12.38708	-1.51062	-1.10779
0.203	-8.05664	-8.8623	5.33752	5.43823	2.81982
0.2035	-12.38708	-3.7262	4.53186	2.92053	3.22266
0.204	-11.98425	-13.89771	-0.30212	2.21558	9.66797
0.2045	-11.38	-7.95593	-0.10071	-1.00708	14.30054
0.205	-12.68921	-12.68921	-3.7262	0.20142	13.89771
0.2055	-14.80408	-16.41541	-0.40283	-1.71204	18.8324
0.206	-13.59558	-9.97009	-5.13611	-4.22974	19.83948
0.2065	-11.78284	-5.43823	-0.10071	-2.5177	14.70337
0.207	-15.20691	-11.98425	2.31628	2.5177	7.65381
0.2075	-5.53894	-3.42407	4.93469	0.50354	1.3092
0.208	-9.46655	-4.63257	3.02124	3.7262	8.8623
