chiusura_max.c3d



Time(s):	Emg_1(uV):	Emg_2(uV):	Emg_3(uV):	Emg_4(uV):	Emg_5(uV):
0.127	-14.80408	0.70496	2.5177	16.61682	-12.38708
0.1275	-17.01965	-5.53894	-2.81982	18.42957	-5.53894
0.128	-14.30054	-5.94177	3.8269	6.2439	6.14319
0.1285	-9.66797	-9.97009	-2.5177	-1.10779	14.80408
0.129	-11.58142	-5.43823	-3.8269	-6.3446	22.6593
0.1295	-11.58142	-0.10071	-6.84814	-13.69629	22.25647
0.13	-13.797	-3.12195	-3.62549	-15.1062	20.64514
0.1305	-10.87646	-1.61133	5.53894	-9.26514	14.80408
0.131	-10.77576	-3.92761	-4.12903	-3.52478	7.35168
0.1315	-15.00549	-2.81982	0.70496	-0.70496	8.56018
0.132	-11.38	-7.25098	-5.33752	6.54602	17.32178
0.1325	-9.97009	-6.44531	-0.90637	-1.3092	16.71753
0.133	-11.17859	-6.74744	2.41699	-3.32336	23.8678
0.1335	-10.27222	-5.33752	-3.02124	-2.71912	22.96143
0.134	-12.38708	-4.53186	-0.20142	-4.53186	29.10461
0.1345	-15.71045	-5.23682	-0.20142	-9.56726	26.58691
0.135	-14.80408	-1.51062	0.20142	-4.02832	19.83948
0.1355	-8.45947	-2.11487	-1.81274	0.60425	12.48779
0.136	-16.01257	-4.63257	-4.43115	-0.40283	6.14319
0.1365	-12.5885	5.33752	-1.2085	-1.10779	0.70496
0.137	-14.30054	6.44531	-2.5177	-4.63257	-3.8269
0.1375	-10.37292	6.14319	-7.35168	-5.74036	-11.38
0.138	-5.84106	4.33044	0.70496	-0.50354	-6.74744
0.1385	2.5177	13.49487	-2.21558	-1.91345	-11.17859
0.139	-2.41699	6.54602	-3.7262	-1.3092	-16.11328
0.1395	0.70496	2.61841	-6.2439	-0.30212	-12.18567
0.14	8.56018	4.73328	4.12903	1.61133	-18.53027
0.1405	3.32336	-1.40991	-0.10071	3.12195	-11.78284
0.141	4.22974	-0.30212	-4.73328	1.61133	-8.96301
0.1415	-1.00708	-0.30212	-1.10779	7.35168	-12.48779
0.142	2.92053	-4.83398	2.11487	2.61841	-5.63965
0.1425	11.38	4.02832	3.7262	4.43115	-10.27222
0.143	1.51062	2.11487	-0.80566	0.50354	-6.74744
0.1435	7.95593	0.40283	-3.12195	3.42407	-5.13611
0.144	8.15735	-2.92053	-2.5177	-0.50354	-8.35876
0.1445	12.78992	-7.15027	-2.81982	-0.50354	-9.26514
0.145	8.25806	-1.2085	3.8269	-3.42407	-9.56726
0.1455	7.15027	-3.12195	8.96301	1.10779	-3.7262
0.146	12.48779	-1.00708	4.12903	-1.91345	-5.0354
0.1465	10.77576	-7.35168	-3.12195	5.43823	-3.52478
0.147	11.17859	-1.91345	-2.21558	-1.00708	-10.57434
0.1475	0.60425	1.91345	-4.43115	-1.71204	-2.11487
0.148	2.31628	-4.33044	-1.00708	-0.90637	-1.40991
0.1485	3.42407	-1.3092	0.90637	-2.92053	-9.26514
0.149	2.81982	4.53186	-1.40991	-1.10779	-11.17859
0.1495	4.73328	-2.41699	-4.12903	-2.81982	-17.01965
0.15	9.66797	-3.7262	2.11487	-0.10071	-10.97717
0.1505	-0.10071	-4.12903	2.11487	3.52478	-14.19983
0.151	0.90637	-10.47363	-0.10071	3.42407	-15.91187
0.1515	4.12903	-4.83398	-0.70496	2.21558	-16.41541
0.152	0.20142	-3.7262	-4.73328	4.12903	-18.02673
0.1525	0.50354	3.62549	-3.22266	1.10779	-16.91895
0.153	0.80566	0.50354	-7.35168	2.31628	-7.35168
0.1535	-5.74036	-6.2439	7.15027	6.64673	-20.04089
0.154	-5.74036	5.33752	-0.80566	5.43823	-20.04089
0.1545	0.60425	5.53894	-3.52478	-0.20142	-18.12744
0.155	0.10071	8.15735	0.20142	-3.02124	-11.07788
0.1555	1.40991	2.61841	-1.10779	-6.74744	3.32336
0.156	-1.81274	3.32336	0.30212	-11.07788	17.72461
0.1565	-4.12903	-0.10071	-3.7262	-19.03381	12.18567
0.157	-5.94177	-4.53186	-1.61133	-9.16443	8.66089
0.1575	-2.5177	-0.30212	0	-0.80566	-7.35168
0.158	-6.14319	-0.50354	-0.10071	2.92053	-16.81824
